label,frame,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20
WANT,0,0.543227196,0.579327643,0.613084257,0.635796785,0.655178905,0.625630438,0.659375727,0.673726022,0.680163622,0.602685988,0.632425785,0.646289706,0.6522609,0.573293269,0.59739995,0.611147761,0.620033026,0.539744616,0.550761521,0.558668196,0.566143155,0.666049123,0.617746294,0.57499963,0.537306368,0.502255499,0.6266523,0.589758515,0.547851384,0.51176995,0.634936035,0.601516187,0.552992821,0.514003396,0.638066351,0.607080638,0.565748632,0.532658219,0.632218719,0.600715041,0.569914281,0.541605473
WANT,1,0.543280423,0.578735769,0.612703383,0.635374963,0.654784441,0.625413835,0.65910244,0.673396587,0.679737449,0.602752507,0.633500814,0.647031188,0.652577281,0.573720574,0.597725034,0.61119467,0.619716167,0.540684938,0.551052451,0.557815909,0.56396246,0.666416585,0.617560387,0.575900137,0.539106786,0.504870772,0.626669765,0.589337945,0.547432423,0.51175487,0.635190785,0.600444615,0.551769912,0.512886882,0.637892723,0.606819689,0.565897524,0.532857835,0.63136369,0.600210547,0.570033073,0.541870058
WANT,2,0.5442577,0.577456236,0.61147207,0.634337068,0.653525293,0.624732018,0.658991396,0.671468258,0.674865842,0.602475584,0.634462893,0.646251142,0.649681211,0.573534608,0.598520696,0.611958146,0.620445907,0.540420949,0.551325142,0.558069587,0.564153194,0.667225838,0.614971101,0.573424816,0.537443936,0.504060984,0.627007067,0.589185774,0.545395017,0.50913173,0.63581562,0.600947499,0.550551295,0.511555493,0.639107645,0.608819008,0.566573679,0.532655895,0.632959425,0.601226568,0.570694149,0.542518258
WANT,3,0.543254316,0.573559821,0.607333064,0.629398823,0.646297395,0.623532712,0.65292865,0.658055902,0.654987514,0.603198588,0.639789522,0.646568298,0.644749522,0.573962271,0.600513279,0.610598922,0.617146969,0.540523291,0.550927103,0.556685686,0.561543524,0.666260183,0.614787459,0.575385332,0.541103005,0.509086847,0.628888726,0.578464925,0.537941396,0.51030612,0.639219403,0.602459967,0.556806505,0.52364856,0.64240396,0.608441472,0.56525135,0.532561421,0.63582164,0.60152173,0.569289565,0.54149121
WANT,4,0.540021598,0.574092031,0.608079195,0.629313052,0.645582557,0.620783448,0.64677912,0.648170173,0.642424464,0.599072397,0.62872982,0.632719994,0.629006267,0.569721937,0.597528875,0.604657054,0.606950045,0.536216438,0.546924174,0.552438974,0.555655241,0.665640593,0.619337499,0.577274084,0.539181352,0.506766558,0.632101357,0.578136504,0.539059043,0.51753974,0.64234513,0.598745883,0.549974084,0.519143641,0.645409346,0.608031869,0.56189096,0.529759705,0.63875401,0.603219748,0.567880094,0.539835691
WANT,5,0.532627106,0.567917645,0.600407958,0.618113637,0.637082934,0.614553273,0.643223107,0.64209789,0.633168995,0.594799697,0.627990842,0.634620726,0.633606851,0.565925479,0.593819559,0.601530254,0.605456531,0.532947779,0.5386976,0.54168129,0.54362154,0.652176023,0.611177921,0.571313918,0.532497525,0.499812186,0.631484747,0.580212891,0.542883575,0.518914282,0.639967442,0.603520691,0.562786162,0.531998396,0.639656126,0.60467571,0.570057034,0.542448819,0.629111886,0.595545232,0.566440701,0.541232765
WANT,6,0.525231719,0.564212322,0.594882965,0.611109197,0.626416862,0.608300328,0.627928019,0.629044652,0.621813893,0.588369191,0.608491719,0.614424884,0.612342119,0.56116575,0.577057064,0.58224535,0.582571208,0.530433059,0.532409251,0.534090042,0.533985138,0.652507663,0.623970687,0.589106023,0.547240555,0.513475001,0.623751283,0.590647638,0.56217593,0.540994644,0.629799128,0.598367155,0.564797401,0.53799063,0.632224381,0.605749726,0.578089237,0.554194868,0.629410267,0.604313135,0.579018474,0.554421961
WANT,7,0.514455795,0.547739744,0.577317774,0.5940727,0.605381966,0.594706416,0.612693965,0.605906427,0.593133271,0.576896012,0.592981994,0.589403808,0.578768969,0.550679743,0.565045893,0.565612137,0.560337782,0.520935774,0.524103642,0.524719894,0.522389948,0.658629298,0.631040335,0.601596117,0.572771072,0.548116207,0.63670826,0.588750124,0.557416201,0.541517258,0.643912613,0.598241627,0.56048888,0.537115157,0.646407008,0.608049691,0.573279142,0.549827814,0.642485559,0.612846196,0.589372337,0.571438491
WANT,8,0.437147647,0.466757447,0.480131894,0.470384091,0.452220261,0.469756246,0.466560155,0.465689778,0.468200207,0.448501825,0.447201312,0.448181033,0.449910969,0.428050548,0.427290559,0.430285871,0.432200223,0.408160001,0.408756346,0.411986589,0.413635761,0.681272149,0.659012198,0.612211585,0.570867956,0.547116935,0.588676274,0.563378155,0.586908162,0.606338143,0.596744895,0.571842492,0.598319292,0.620152116,0.607047975,0.582037807,0.605791867,0.625819564,0.617423534,0.593174458,0.613602936,0.630773127
WANT,9,0.417546839,0.443462312,0.453846842,0.441972226,0.427436113,0.464969546,0.44249776,0.438352078,0.440361828,0.442726225,0.421232998,0.419887841,0.423518807,0.418545693,0.40114218,0.401766509,0.405330092,0.39347437,0.385382295,0.38658163,0.387912482,0.697334528,0.667655468,0.61539948,0.574241638,0.555468202,0.638433635,0.577651024,0.58571142,0.603444755,0.651699603,0.581523359,0.593200684,0.614751041,0.655835867,0.587707222,0.59895891,0.619096696,0.653890669,0.598371029,0.608297467,0.627540052
WANT,10,0.404290318,0.436499268,0.440526068,0.418383628,0.399289697,0.437705457,0.425170541,0.42076543,0.42213729,0.412957639,0.401277095,0.401880264,0.405783832,0.387925088,0.378929108,0.383399069,0.387412041,0.363650739,0.359930336,0.365973353,0.369473547,0.694721162,0.661839068,0.614386082,0.573697269,0.557994425,0.613449395,0.574476063,0.58581084,0.598917425,0.613155484,0.572734475,0.58969897,0.609335065,0.612693727,0.57526201,0.593189895,0.611982882,0.6119982,0.585753918,0.600887954,0.617018938
WANT,11,0.399222672,0.42295146,0.429633319,0.4059273,0.383918107,0.432464927,0.412908435,0.409541547,0.412488252,0.408515692,0.391206443,0.391073048,0.394423693,0.384592205,0.370215833,0.372496337,0.376575828,0.360744268,0.355050415,0.358721048,0.35981667,0.700063109,0.670142233,0.617560565,0.578202665,0.564173758,0.650861681,0.579509974,0.593221068,0.617536962,0.663143396,0.582790017,0.597868741,0.624269485,0.665314615,0.589182436,0.603050411,0.625984907,0.660848796,0.603663325,0.611486852,0.630190551
WANT,12,0.39781785,0.418821931,0.42353332,0.398739219,0.374689251,0.42554307,0.408733606,0.405249119,0.407409012,0.400880903,0.385425389,0.385978818,0.388572961,0.377583742,0.366223723,0.368822277,0.372144908,0.355148464,0.349604428,0.354487389,0.356518209,0.693892896,0.663089514,0.611715436,0.572500467,0.561293542,0.647583127,0.575843453,0.591296792,0.615317345,0.659375966,0.580099225,0.597033441,0.622575045,0.662015498,0.588683605,0.603444576,0.62612015,0.658532679,0.600887299,0.607303143,0.626266003
WANT,13,0.394057602,0.411792427,0.414074957,0.389486343,0.370463878,0.425031006,0.403154761,0.399148405,0.402634621,0.401491046,0.382513076,0.381820679,0.384916246,0.377950013,0.362887114,0.365886927,0.370105565,0.354198486,0.346245229,0.351282179,0.354230404,0.697127044,0.667079985,0.613805056,0.575509667,0.556781769,0.647145629,0.574026883,0.590392351,0.614297748,0.661859095,0.577754319,0.595139563,0.622168481,0.665584564,0.587549627,0.60296464,0.626651287,0.661136329,0.600006104,0.60687089,0.626143396
