label,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20
HI,0.264455557,0.325512588,0.374925107,0.409639418,0.441112161,0.346688926,0.364707381,0.375084221,0.384842068,0.313274771,0.320903629,0.328113586,0.334538966,0.28191036,0.282790631,0.287626714,0.293072313,0.25161171,0.251350224,0.252604604,0.254882753,0.856609106,0.834789932,0.770695448,0.711840391,0.6790272,0.658798516,0.579828382,0.533796668,0.49490568,0.64433974,0.553251266,0.499284089,0.457140923,0.647029877,0.563480258,0.511972904,0.46877116,0.662974477,0.604718149,0.568685174,0.536380768
HI,0.07013616,0.132055104,0.18392241,0.220200837,0.256497651,0.168992206,0.192074865,0.202529013,0.211209238,0.133951589,0.149156883,0.15564701,0.160540432,0.098677076,0.109128729,0.116349399,0.122797936,0.061510831,0.069075316,0.076810479,0.08419583,0.723731577,0.705134153,0.650206029,0.589120686,0.55031693,0.531103075,0.449058175,0.396128178,0.349130332,0.513248861,0.418688357,0.359099716,0.307764649,0.51560545,0.429169536,0.374423653,0.325174153,0.533030868,0.469849527,0.431354761,0.394029796
HI,0.588207841,0.648812771,0.702090085,0.739374578,0.773623884,0.684892476,0.711547315,0.7296772,0.746436954,0.657966971,0.673947394,0.6905002,0.705133438,0.630535781,0.63493973,0.642738342,0.651908398,0.603589475,0.59712559,0.594361424,0.594427109,0.754487276,0.752517223,0.700717926,0.656229496,0.638495326,0.581495643,0.517996371,0.479281545,0.44648236,0.559455216,0.481155932,0.432180285,0.390969515,0.556623161,0.479335964,0.430103987,0.386479974,0.570335686,0.511490583,0.469840586,0.429876864
HI,0.233938009,0.296291262,0.349913746,0.389556676,0.425773025,0.32677722,0.345398694,0.353751421,0.361779422,0.289893657,0.299972534,0.305741191,0.310794026,0.254059583,0.257768452,0.263569742,0.270311147,0.217869624,0.219721824,0.222715467,0.227174371,0.666073084,0.642602205,0.576721847,0.51201272,0.471928209,0.461368173,0.376565158,0.324315548,0.278416932,0.444106489,0.347828686,0.288091362,0.237921417,0.445950538,0.358593583,0.303818613,0.255003214,0.462183028,0.399004877,0.360794961,0.324807554
HI,0.359060943,0.421909302,0.469601244,0.502174318,0.537476599,0.429716527,0.445980698,0.4558236,0.464612335,0.390966892,0.391000241,0.393991232,0.396605819,0.356351107,0.349395394,0.348682493,0.349717498,0.324021518,0.312852561,0.308366507,0.305702865,0.976282358,0.940300643,0.866772771,0.800441325,0.757480323,0.74601686,0.660005629,0.605822921,0.556835175,0.736510038,0.63728565,0.574872017,0.520027459,0.748786032,0.659266353,0.598134398,0.541071534,0.778456807,0.710694671,0.663816452,0.617999017
HI,0.090882406,0.148529977,0.195251107,0.226217061,0.257894099,0.175015777,0.192434162,0.197352514,0.200150654,0.140884578,0.150958881,0.152910158,0.152667567,0.107217193,0.113800324,0.118012667,0.120565653,0.071888328,0.075036958,0.078675702,0.081919864,0.665868104,0.638902664,0.577481985,0.5115605,0.468018055,0.464371979,0.381276071,0.327903807,0.281079471,0.450759113,0.360304952,0.300886154,0.251203388,0.455372691,0.373734236,0.320429265,0.274052471,0.473260373,0.415179253,0.378095269,0.343234807
HI,0.04244788,0.099177524,0.141830266,0.167455241,0.198104843,0.12249513,0.138065666,0.140321791,0.140085548,0.088016696,0.096390739,0.096121512,0.09379372,0.054346755,0.05970655,0.06350062,0.066007696,0.019292586,0.021188304,0.024368413,0.02760756,0.625309825,0.596805096,0.535449147,0.466885418,0.422052354,0.42787537,0.344942331,0.290608883,0.243303224,0.415992081,0.325924218,0.265295982,0.215237707,0.421871811,0.339976251,0.287234306,0.242172018,0.440159351,0.377051532,0.335670114,0.296470165
HI,0.292018265,0.358405352,0.410967648,0.446965456,0.484226584,0.376783848,0.392181337,0.401556909,0.411354512,0.338511378,0.342437387,0.348091274,0.353838414,0.302625537,0.300205052,0.301831216,0.305886745,0.268158704,0.264380664,0.265468091,0.268432975,0.925741017,0.89461416,0.825321078,0.760929942,0.716544449,0.697937489,0.610846519,0.557345867,0.50978297,0.685517132,0.588043153,0.527197063,0.474611163,0.694909692,0.604284883,0.542661726,0.485218704,0.721373677,0.652586579,0.605921984,0.559944987
HI,0.606810689,0.67999649,0.741683722,0.785314441,0.825598001,0.71623528,0.741663933,0.765015841,0.790800154,0.688690066,0.703052938,0.723261058,0.743459821,0.659035861,0.663169324,0.672967076,0.684961319,0.628521025,0.623798788,0.625437081,0.628645062,0.967377841,0.950288713,0.882456541,0.829874754,0.79806149,0.740442812,0.653823733,0.608602464,0.570157111,0.724898756,0.620071769,0.558729351,0.506860137,0.732452393,0.629332781,0.563269019,0.504176974,0.75844276,0.681333482,0.62680614,0.574131668
HI,0.573366046,0.654214263,0.721536636,0.769378781,0.813889027,0.68571496,0.710730076,0.727762163,0.744924188,0.645907819,0.657940984,0.672218263,0.68585676,0.608254552,0.607634485,0.615139067,0.624947667,0.571813881,0.564613223,0.563713849,0.565610766,0.680040717,0.663001657,0.587081015,0.522717774,0.493285418,0.436122417,0.344898492,0.289114356,0.240450114,0.414865702,0.306439131,0.238553748,0.179958463,0.418026507,0.317775965,0.254339546,0.196422189,0.441444218,0.368988156,0.322277397,0.277392507
HI,0.685883164,0.763438523,0.830330074,0.883089542,0.932491124,0.806541383,0.841716826,0.870617092,0.900226474,0.774290979,0.79493618,0.821243584,0.846393585,0.738725126,0.745227456,0.759497643,0.776775062,0.702370405,0.692536235,0.693132699,0.696629524,0.988762319,0.967813611,0.903961599,0.853956401,0.819344223,0.751998782,0.65952754,0.607263327,0.562155247,0.734490514,0.621493816,0.552092791,0.492489457,0.742393851,0.629590213,0.554543316,0.487882286,0.77123642,0.685487807,0.622510195,0.561879396
HI,0.766482711,0.846633852,0.915088654,0.963845611,1.008824348,0.882021189,0.907541931,0.923647463,0.939540684,0.840777576,0.845512152,0.855892599,0.867082834,0.80184114,0.800212502,0.804864109,0.812229753,0.764071286,0.751585305,0.746398091,0.745062232,0.698693395,0.685174704,0.602247596,0.53840369,0.509715915,0.440438151,0.338706076,0.276246518,0.223479271,0.423911035,0.320883393,0.262854695,0.215984434,0.42980516,0.332204163,0.269045174,0.213454664,0.455161303,0.375799328,0.322784424,0.271692276
HI,0.763766527,0.84656173,0.919835627,0.97531414,1.022976756,0.894594073,0.92750448,0.950911939,0.973352551,0.855310261,0.873813629,0.891960919,0.907659888,0.815551043,0.820117474,0.82843399,0.838412464,0.77516979,0.764565647,0.7619403,0.762563407,0.822898388,0.809646904,0.737539649,0.676817775,0.643576264,0.569942832,0.465399683,0.401231736,0.346142501,0.547953963,0.426695883,0.349033445,0.283096045,0.55402571,0.438500762,0.361327052,0.292891324,0.582914948,0.496601135,0.436509967,0.379932582
HI,0.249614328,0.329893261,0.390172809,0.433381945,0.478004038,0.339448899,0.352611125,0.356832772,0.360730231,0.291593224,0.290662616,0.287463903,0.284056604,0.247117102,0.241563544,0.239246413,0.238406062,0.203928143,0.199792594,0.200946569,0.203114733,0.670383036,0.629673779,0.547089159,0.46389994,0.405384064,0.393359095,0.284520864,0.217456445,0.155074298,0.379544914,0.25824213,0.18198894,0.113307714,0.391627908,0.283665746,0.212406904,0.144509166,0.423108906,0.341012985,0.288883209,0.236539274
HI,0.46935311,0.537727833,0.589609623,0.630728304,0.674897313,0.539983332,0.554388881,0.56565696,0.577196717,0.496820658,0.493772894,0.49641338,0.499957591,0.457141966,0.446323633,0.442822605,0.442690134,0.420388281,0.405212611,0.397680491,0.393746495,1.053797245,1.014925957,0.947506666,0.881195128,0.833140612,0.809570372,0.710568428,0.649365783,0.594489098,0.80163461,0.689341009,0.619041502,0.556418777,0.818208754,0.715392292,0.641803026,0.572948575,0.854251504,0.774914801,0.719412446,0.66343981
HI,0.430525422,0.510669529,0.5703426,0.616545379,0.662462771,0.519682705,0.532149553,0.544210792,0.557621956,0.475149393,0.477045804,0.482205987,0.486937314,0.434044749,0.426980346,0.4273628,0.430221409,0.394531727,0.384558499,0.380956978,0.380309731,0.887269676,0.849901795,0.763705373,0.694397867,0.652472854,0.617087841,0.512437999,0.449791491,0.393765569,0.605636358,0.488246262,0.412647784,0.346099794,0.618945181,0.513050735,0.440229416,0.37135303,0.652330399,0.573985398,0.519864202,0.46567142
HI,0.141056612,0.21106711,0.258101642,0.291826606,0.333140433,0.20856607,0.214656845,0.211586356,0.207904071,0.162632331,0.153890535,0.145211548,0.136751756,0.121452764,0.109112285,0.102337129,0.096771643,0.082244754,0.074912876,0.07508754,0.076844662,0.795859575,0.746020377,0.656708419,0.567543805,0.513243914,0.521802902,0.417926908,0.352295518,0.293660641,0.514884412,0.400059938,0.32823804,0.265314728,0.531531096,0.427449405,0.36046654,0.298657924,0.565548301,0.489725202,0.442105651,0.395396918
HI,0.114089817,0.188137621,0.239933461,0.276766896,0.320612133,0.186345086,0.195445046,0.193919823,0.190864995,0.13788186,0.13112779,0.123109639,0.115262836,0.094206691,0.083819054,0.079374678,0.076028608,0.051509306,0.04352212,0.043851763,0.046264179,0.774709344,0.723226428,0.634471476,0.545540571,0.488787353,0.490746915,0.383915961,0.313906491,0.249586672,0.481085896,0.360011518,0.282400876,0.21300149,0.496996224,0.387910843,0.315369457,0.248335123,0.532095671,0.447987884,0.393004477,0.338104278
HI,0.387996137,0.469169259,0.529547453,0.572362542,0.614847958,0.48195821,0.499551982,0.511084974,0.523244739,0.436944842,0.444608867,0.452901602,0.46049428,0.395590991,0.394360274,0.396973073,0.401486635,0.354793757,0.35230118,0.356168389,0.361476898,0.820158243,0.779365182,0.690171301,0.611235738,0.558995903,0.54048574,0.431352258,0.36503458,0.306083441,0.525258839,0.40082854,0.32188186,0.252840132,0.536908746,0.421106339,0.345629573,0.276426882,0.568691552,0.484186113,0.429044306,0.376268297
HI,0.413113832,0.477202743,0.530273795,0.567545831,0.603040636,0.491427243,0.527290344,0.545139611,0.556631267,0.444560319,0.459303051,0.467969239,0.471757025,0.399995774,0.393138438,0.392076522,0.39308089,0.355813861,0.338031918,0.329323471,0.324858278,0.758095443,0.720901251,0.643311441,0.573325455,0.530873954,0.526316941,0.438942909,0.383008212,0.335552454,0.50999856,0.400415123,0.334623039,0.280122519,0.519498229,0.4229424,0.361962736,0.307529747,0.550667107,0.479709208,0.433483243,0.387223363
